Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2016,01,01,19.8,1,Y
IDCJAC0011,086338,2016,01,02,17.1,1,Y
IDCJAC0011,086338,2016,01,03,17.5,1,Y
IDCJAC0011,086338,2016,01,04,16.3,1,Y
IDCJAC0011,086338,2016,01,05,17.1,1,Y
IDCJAC0011,086338,2016,01,06,17.3,1,Y
IDCJAC0011,086338,2016,01,07,16.3,1,Y
IDCJAC0011,086338,2016,01,08,16.2,1,Y
IDCJAC0011,086338,2016,01,09,16.8,1,Y
IDCJAC0011,086338,2016,01,10,15.7,1,Y
IDCJAC0011,086338,2016,01,11,17.2,1,Y
IDCJAC0011,086338,2016,01,12,17.1,1,Y
IDCJAC0011,086338,2016,01,13,16.8,1,Y
IDCJAC0011,086338,2016,01,14,16.1,1,Y
IDCJAC0011,086338,2016,01,15,13.6,1,Y
IDCJAC0011,086338,2016,01,16,11.9,1,Y
IDCJAC0011,086338,2016,01,17,14.9,1,Y
IDCJAC0011,086338,2016,01,18,18.6,1,Y
IDCJAC0011,086338,2016,01,19,17.9,1,Y
IDCJAC0011,086338,2016,01,20,19.3,1,Y
IDCJAC0011,086338,2016,01,21,19.0,1,Y
IDCJAC0011,086338,2016,01,22,17.5,1,Y
IDCJAC0011,086338,2016,01,23,17.3,1,Y
IDCJAC0011,086338,2016,01,24,16.2,1,Y
IDCJAC0011,086338,2016,01,25,16.7,1,Y
IDCJAC0011,086338,2016,01,26,16.5,1,Y
IDCJAC0011,086338,2016,01,27,19.3,1,Y
IDCJAC0011,086338,2016,01,28,20.3,1,Y
IDCJAC0011,086338,2016,01,29,14.4,1,Y
IDCJAC0011,086338,2016,01,30,12.3,1,Y
IDCJAC0011,086338,2016,01,31,13.9,1,Y
IDCJAC0011,086338,2016,02,01,12.5,1,Y
IDCJAC0011,086338,2016,02,02,15.4,1,Y
IDCJAC0011,086338,2016,02,03,18.1,1,Y
IDCJAC0011,086338,2016,02,04,17.3,1,Y
IDCJAC0011,086338,2016,02,05,15.3,1,Y
IDCJAC0011,086338,2016,02,06,16.5,1,Y
IDCJAC0011,086338,2016,02,07,19.1,1,Y
IDCJAC0011,086338,2016,02,08,19.2,1,Y
IDCJAC0011,086338,2016,02,09,17.4,1,Y
IDCJAC0011,086338,2016,02,10,17.4,1,Y
IDCJAC0011,086338,2016,02,11,18.0,1,Y
IDCJAC0011,086338,2016,02,12,16.7,1,Y
IDCJAC0011,086338,2016,02,13,17.7,1,Y
IDCJAC0011,086338,2016,02,14,16.4,1,Y
IDCJAC0011,086338,2016,02,15,14.0,1,Y
IDCJAC0011,086338,2016,02,16,13.7,1,Y
IDCJAC0011,086338,2016,02,17,12.7,1,Y
IDCJAC0011,086338,2016,02,18,15.5,1,Y
IDCJAC0011,086338,2016,02,19,15.8,1,Y
IDCJAC0011,086338,2016,02,20,15.8,1,Y
IDCJAC0011,086338,2016,02,21,12.6,1,Y
IDCJAC0011,086338,2016,02,22,15.6,1,Y
IDCJAC0011,086338,2016,02,23,18.1,1,Y
IDCJAC0011,086338,2016,02,24,22.4,1,Y
IDCJAC0011,086338,2016,02,25,19.6,1,Y
IDCJAC0011,086338,2016,02,26,15.5,1,Y
IDCJAC0011,086338,2016,02,27,17.7,1,Y
IDCJAC0011,086338,2016,02,28,17.7,1,Y
IDCJAC0011,086338,2016,02,29,15.0,1,Y
IDCJAC0011,086338,2016,03,01,17.3,1,Y
IDCJAC0011,086338,2016,03,02,17.6,1,Y
IDCJAC0011,086338,2016,03,03,17.4,1,Y
IDCJAC0011,086338,2016,03,04,16.5,1,Y
IDCJAC0011,086338,2016,03,05,20.4,1,Y
IDCJAC0011,086338,2016,03,06,17.4,1,Y
IDCJAC0011,086338,2016,03,07,18.6,1,Y
IDCJAC0011,086338,2016,03,08,19.9,1,Y
IDCJAC0011,086338,2016,03,09,20.8,1,Y
IDCJAC0011,086338,2016,03,10,18.1,1,Y
