Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086338,2016,01,01,22.0
IDCJAC0016,086338,2016,01,02,25.1
IDCJAC0016,086338,2016,01,03,25.7
IDCJAC0016,086338,2016,01,04,15.3
IDCJAC0016,086338,2016,01,05,25.8
IDCJAC0016,086338,2016,01,06,18.1
IDCJAC0016,086338,2016,01,07,30.4
IDCJAC0016,086338,2016,01,08,25.4
IDCJAC0016,086338,2016,01,09,21.3
IDCJAC0016,086338,2016,01,10,31.3
IDCJAC0016,086338,2016,01,11,15.8
IDCJAC0016,086338,2016,01,12,29.1
IDCJAC0016,086338,2016,01,13,25.0
IDCJAC0016,086338,2016,01,14,3.9
IDCJAC0016,086338,2016,01,15,19.7
IDCJAC0016,086338,2016,01,16,32.6
IDCJAC0016,086338,2016,01,17,31.5
IDCJAC0016,086338,2016,01,18,30.4
IDCJAC0016,086338,2016,01,19,27.2
IDCJAC0016,086338,2016,01,20,18.6
IDCJAC0016,086338,2016,01,21,14.9
IDCJAC0016,086338,2016,01,22,6.5
IDCJAC0016,086338,2016,01,23,23.2
IDCJAC0016,086338,2016,01,24,23.4
IDCJAC0016,086338,2016,01,25,25.7
IDCJAC0016,086338,2016,01,26,28.7
IDCJAC0016,086338,2016,01,27,22.2
IDCJAC0016,086338,2016,01,28,19.0
IDCJAC0016,086338,2016,01,29,14.3
IDCJAC0016,086338,2016,01,30,24.0
IDCJAC0016,086338,2016,01,31,26.3
IDCJAC0016,086338,2016,02,01,29.4
IDCJAC0016,086338,2016,02,02,25.5
IDCJAC0016,086338,2016,02,03,11.0
IDCJAC0016,086338,2016,02,04,21.7
IDCJAC0016,086338,2016,02,05,29.0
IDCJAC0016,086338,2016,02,06,28.8
IDCJAC0016,086338,2016,02,07,28.5
IDCJAC0016,086338,2016,02,08,23.3
IDCJAC0016,086338,2016,02,09,27.7
IDCJAC0016,086338,2016,02,10,25.3
IDCJAC0016,086338,2016,02,11,27.6
IDCJAC0016,086338,2016,02,12,27.9
IDCJAC0016,086338,2016,02,13,23.4
IDCJAC0016,086338,2016,02,14,22.9
IDCJAC0016,086338,2016,02,15,25.4
IDCJAC0016,086338,2016,02,16,14.5
IDCJAC0016,086338,2016,02,17,16.2
IDCJAC0016,086338,2016,02,18,20.6
IDCJAC0016,086338,2016,02,19,11.2
IDCJAC0016,086338,2016,02,20,23.8
IDCJAC0016,086338,2016,02,21,26.5
IDCJAC0016,086338,2016,02,22,8.4
IDCJAC0016,086338,2016,02,23,19.4
IDCJAC0016,086338,2016,02,24,15.8
IDCJAC0016,086338,2016,02,25,13.8
IDCJAC0016,086338,2016,02,26,19.3
IDCJAC0016,086338,2016,02,27,17.7
IDCJAC0016,086338,2016,02,28,21.5
IDCJAC0016,086338,2016,02,29,18.2
IDCJAC0016,086338,2016,03,01,23.4
IDCJAC0016,086338,2016,03,02,22.6
IDCJAC0016,086338,2016,03,03,21.8
IDCJAC0016,086338,2016,03,04,21.2
IDCJAC0016,086338,2016,03,05,11.4
IDCJAC0016,086338,2016,03,06,21.3
IDCJAC0016,086338,2016,03,07,7.9
IDCJAC0016,086338,2016,03,08,20.8
IDCJAC0016,086338,2016,03,09,10.8
IDCJAC0016,086338,2016,03,10,3.9
IDCJAC0016,086338,2016,03,11,19.6
IDCJAC0016,086338,2016,03,12,7.0
IDCJAC0016,086338,2016,03,13,13.8
IDCJAC0016,086338,2016,03,14,10.6
IDCJAC0016,086338,2016,03,15,20.7
IDCJAC0016,086338,2016,03,16,18.9
IDCJAC0016,086338,2016,03,17,19.6
IDCJAC0016,086338,2016,03,18,6.7
IDCJAC0016,086338,2016,03,19,10.7
IDCJAC0016,086338,2016,03,20,19.0
IDCJAC0016,086338,2016,03,21,19.7
IDCJAC0016,086338,2016,03,22,21.1
IDCJAC0016,086338,2016,03,23,12.7
IDCJAC0016,086338,2016,03,24,10.4
IDCJAC0016,086338,2016,03,25,14.4
IDCJAC0016,086338,2016,03,26,8.2
IDCJAC0016,086338,2016,03,27,14.0
IDCJAC0016,086338,2016,03,28,13.0
IDCJAC0016,086338,2016,03,29,5.7
IDCJAC0016,086338,2016,03,30,8.5
IDCJAC0016,086338,2016,03,31,17.1
IDCJAC0016,086338,2016,04,01,16.7
IDCJAC0016,086338,2016,04,02,8.3
IDCJAC0016,086338,2016,04,03,15.4
IDCJAC0016,086338,2016,04,04,18.4
IDCJAC0016,086338,2016,04,05,17.1
IDCJAC0016,086338,2016,04,06,3.9
IDCJAC0016,086338,2016,04,07,13.1
IDCJAC0016,086338,2016,04,08,9.6
IDCJAC0016,086338,2016,04,09,13.0
IDCJAC0016,086338,2016,04,10,9.6
IDCJAC0016,086338,2016,04,11,14.1
IDCJAC0016,086338,2016,04,12,13.5
IDCJAC0016,086338,2016,04,13,12.6
IDCJAC0016,086338,2016,04,14,12.7
IDCJAC0016,086338,2016,04,15,15.9
IDCJAC0016,086338,2016,04,16,8.3
IDCJAC0016,086338,2016,04,17,14.7
IDCJAC0016,086338,2016,04,18,15.0
IDCJAC0016,086338,2016,04,19,14.5
IDCJAC0016,086338,2016,04,20,14.0
IDCJAC0016,086338,2016,04,21,5.6
IDCJAC0016,086338,2016,04,22,7.9
IDCJAC0016,086338,2016,04,23,8.5
IDCJAC0016,086338,2016,04,24,14.8
IDCJAC0016,086338,2016,04,25,14.8
IDCJAC0016,086338,2016,04,26,14.6
IDCJAC0016,086338,2016,04,27,13.5
IDCJAC0016,086338,2016,04,28,5.3
IDCJAC0016,086338,2016,04,29,3.7
IDCJAC0016,086338,2016,04,30,12.7
IDCJAC0016,086338,2016,05,01,9.0
IDCJAC0016,086338,2016,05,02,12.3
IDCJAC0016,086338,2016,05,03,8.8
IDCJAC0016,086338,2016,05,04,11.8
IDCJAC0016,086338,2016,05,05,12.3
IDCJAC0016,086338,2016,05,06,13.2
IDCJAC0016,086338,2016,05,07,12.6
IDCJAC0016,086338,2016,05,08,3.5
IDCJAC0016,086338,2016,05,09,6.7
IDCJAC0016,086338,2016,05,10,7.6
